servicio.salud;prestador;porcentaje;art.incumplidos;año;estado;tipo;IF
Antofagasta;Hospital Dr. Leonardo Guzman;75,56;3;2018;Cumple;EAR;
Ñuble;Hospital Clínico Herminda Martin;75;2;2018;Cumple;EAR;
Metropolitano Sur Oriente;Hospital Clínico Metropolitano La Florida Dra. Eloísa Diaz Inzunza;75;4;2018;Cumple;Invitado;
Araucanía Norte;Hospital San José (Victoria);75;1;2018;Cumple;EAR;
Metropolitano Occidente;Hospital San Juan de Dios (Santiago);74,44;4;2018;No cumple;EAR;
Coquimbo;Hospital San Juan de Dios (La Serena);74,43;2;2018;No cumple;EAR;
Metropolitano Central;Hospital El Carmen Dr. Luis Valentín Ferrada;73,9;3;2018;No cumple;Invitado;
Valdivia;Hospital Clínico Regional Valdivia;73,89;3;2018;No cumple;EAR;
Valparaíso San Antonio;Hospital Carlos Van Buren;73,86;2;2018;No cumple;EAR;
Metropolitano Sur;Hospital Barros Luco Trudeau;72,78;3;2018;No cumple;EAR;
Metropolitano Central;Hospital Clínico San Borja Arriaran;72,78;3;2018;No cumple;EAR;
Metropolitano Sur Oriente;Complejo Hospitalario Dr. Sotero del Rio;72,73;5;2018;No cumple;EAR;
Arica;Hospital Dr. Juan Noe Crevanni;72,22;2;2018;No cumple;EAR;
Atacama;Hospital San José del Carmen (Copiapó);71;2;2018;No cumple;Invitado;
Metropolitano Central;Hospital de Urgencia Asistencia Publica Dr. Alejandro del Rio;70,71;5;2018;No cumple;EAR;
Metropolitano Norte;Complejo Hospitalario San Jose;70;2;2018;No cumple;EAR;
Metropolitano Sur Oriente;Hospital Padre Alberto Hurtado;64,4;8;2018;No cumple;Invitado;
Metropolitano Oriente;Instituto de Neurocirugía Dr. Alfonso Asenjo;92,68;0;2017;Cumple;EAR;
Metropolitano Oriente;Hospital Dr. Luis Tisne B.;92,5;1;2017;Cumple;EAR;
Metropolitano Oriente;Instituto Nacional de Rehabilitación Pdte. Pedro Aguirre Cerda;91,13;0;2017;Cumple;EAR;
Metropolitano Oriente;Hospital de Niños Dr. Luis Calvo Mackenna;90,85;2;2017;Cumple;EAR;
Metropolitano Sur;Hospital Dr. Exequiel Gonzalez Cortes;90,85;1;2017;Cumple;EAR;
Metropolitano Oriente;Instituto Nacional Geriátrico Pdte. Eduardo Frei Montalva;90;0;2017;Cumple;EAR;
Talcahuano;Hospital de Tome;88,16;0;2017;Cumple;EAR;
Talcahuano;Hospital Penco Lirquén;87,14;0;2017;Cumple;Invitado;
Metropolitano Oriente;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;85,9;3;2017;Cumple;EAR;
Araucanía Norte;Hospital San José (Victoria);84,66;2;2017;Cumple;EAR;
Del Maule;Hospital Pdte. Carlos Ibáñez del Campo;83,72;1;2017;Cumple;EAR;
Del Maule;Hospital San Juan de Dios (Curicó);82,56;2;2017;Cumple;EAR;
Metropolitano Norte;Instituto Psiquiátrico Dr. Jose Horwitz Barak;82,5;1;2017;Cumple;EAR;
Metropolitano Norte;Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa;81,94;2;2017;Cumple;EAR;
Metropolitano Occidente;Hospital San José (Melipilla);81,82;3;2017;Cumple;EAR;
Viña del Mar Quillota;Hospital Dr. Gustavo Fricke;81,67;4;2017;Cumple;EAR;
Metropolitano Central;Hospital Clínico San Borja Arriaran;80,68;3;2017;Cumple;EAR;
Antofagasta;Hospital Dr. Carlos Cisternas;80,23;3;2017;Cumple;Invitado;
Magallanes;Hospital Dr. Lautaro Navarro Avaria;80;7;2017;Cumple;EAR;
Concepción;Hospital San José (Coronel);79,76;2;2017;Cumple;EAR;
Viña del Mar Quillota;Hospital San Martín;79,55;2;2017;Cumple;EAR;
Biobío;Complejo Asistencial Dr. Victor Ríos Ruiz;79,44;3;2017;Cumple;EAR;
Metropolitano Sur;Hospital Barros Luco Trudeau;79,44;3;2017;Cumple;EAR;
Metropolitano Sur;Hospital El Pino;79,44;2;2017;Cumple;EAR;
Del Libertador B. O´Higgins;Hospital Regional de Rancagua;79,44;3;2017;Cumple;EAR;
Viña del Mar Quillota;Hospital de Quilpué;78,98;2;2017;Cumple;EAR;
Aconcagua;Hospital de San Camilo;78,98;2;2017;Cumple;EAR;
Metropolitano Occidente;Instituto Traumatológico Dr. Teodoro Gebauer;78,95;2;2017;Cumple;EAR;
Osorno;Hospital Base de Osorno;78,89;3;2017;Cumple;EAR;
Valdivia;Hospital Clínico Regional Valdivia;78,89;2;2017;Cumple;EAR;
Talcahuano;Hospital Las Higueras;78,89;2;2017;Cumple;EAR;
Metropolitano Occidente;Hospital Dr. Félix Bulnes Cerda;78,57;3;2017;Cumple;EAR;
Concepción;Hospital Clinico Regional Dr. Guillermo Grant Benavente;77,78;2;2017;Cumple;EAR;
Del Reloncaví;Hospital de Puerto Montt;77,78;2;2017;Cumple;EAR;
Chiloé;Hospital de Castro;77,27;3;2017;Cumple;EAR;
Arauco;Hospital Provincial Dr. Rafael Avaria;76,79;6;2017;Cumple;Invitado;
Arica;Hospital Dr. Juan Noe Crevanni;76,7;6;2017;Cumple;EAR;
Metropolitano Central;Hospital El Carmen Dr. Luis Valentín Ferrada;76,7;2;2017;Cumple;Invitado;
Metropolitano Oriente;Hospital Del Salvador;76,67;3;2017;Cumple;EAR;
Coquimbo;Hospital San Juan de Dios (La Serena);76,14;3;2017;Cumple;EAR;
Ñuble;Hospital Clínico Herminda Martin;76,11;2;2017;Cumple;EAR;
Del Maule;Hospital Dr. César Garavagno Burotto;76,11;2;2017;Cumple;EAR;
Ñuble;Hospital de San Carlos;75,57;4;2017;Cumple;EAR;
Araucanía Norte;Hospital Dr. Mauricio Heyermann;75,57;2;2017;Cumple;EAR;
Aisén;Hospital Regional Coihaique;75,56;3;2017;Cumple;EAR;
Concepción;Hospital de Lota;75;2;2017;Cumple;EAR;
Araucanía Sur;Hospital Dr. Hernán Henríquez Aravena;75;2;2017;Cumple;EAR;
Aconcagua;Hospital San Juan de Dios (Los Andes);75;1;2017;Cumple;EAR;
Metropolitano Occidente;Hospital San Juan de Dios (Santiago);75;4;2017;Cumple;EAR;
Coquimbo;Hospital Dr. Antonio Tirado Lanas;74,42;3;2017;No cumple;EAR;
Metropolitano Sur Oriente;Complejo Hospitalario Dr. Sotero del Rio;73,3;3;2017;No cumple;EAR;
Valparaíso San Antonio;Hospital Claudio Vicuña;73,26;3;2017;No cumple;EAR;
Metropolitano Sur Oriente;Hospital Clínico Metropolitano La Florida Dra. Eloísa Diaz Inzunza;72,78;3;2017;No cumple;Invitado;
Atacama;Hospital San José del Carmen (Copiapó);72,78;2;2017;No cumple;Invitado;
Atacama;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz;72,09;4;2017;No cumple;Invitado;
Del Libertador B. O´Higgins;Hospital San Juan de Dios (San Fernando);70,93;1;2017;No cumple;EAR;
Valparaíso San Antonio;Hospital Dr. Eduardo Pereira Ramírez;70,83;2;2017;No cumple;EAR;
Valparaíso San Antonio;Hospital Carlos Van Buren;69,89;5;2017;No cumple;EAR;
Metropolitano Occidente;Hospital Adalberto Steeger;68,6;4;2017;No cumple;Invitado;
Coquimbo;Hospital San Pablo;67,78;4;2017;No cumple;EAR;
Antofagasta;Hospital Dr. Leonardo Guzman;67,22;3;2017;No cumple;EAR;
Metropolitano Norte;Hospital Clínico de Niños Dr. Roberto del Rio;67,07;7;2017;No cumple;EAR;
Metropolitano Sur Oriente;Hospital Padre Alberto Hurtado;66,48;9;2017;No cumple;Invitado;
Metropolitano Norte;Complejo Hospitalario San Jose;66,11;3;2017;No cumple;EAR;
Metropolitano Central;Hospital de Urgencia Asistencia Publica Dr. Alejandro del Rio;63,57;5;2017;No cumple;EAR;
Iquique;Hospital Dr. Ernesto Torres Galdames ;61,67;7;2017;No cumple;EAR;
Metropolitano Oriente;Instituto Nacional Geriátrico Pdte. Eduardo Frei Montalva;98,44;;2016;Cumple;EAR;
Metropolitano Oriente;Instituto de Neurocirugía Dr. Alfonso Asenjo;95;;2016;Cumple;EAR;
Metropolitano Sur;Hospital Dr. Exequiel González Cortés;89,67;;2016;Cumple;EAR;
Metropolitano Oriente;Hospital de Niños Dr. Luis Calvo Mackenna;87,77;;2016;Cumple;EAR;
Del Maule;Hospital Pdte. Carlos Ibáñez del Campo;87,77;;2016;Cumple;EAR;
Metropolitano Norte;Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa;86,84;;2016;Cumple;EAR;
Del Maule;Hospital San Juan de Dios (Curicó);84,57;;2016;Cumple;EAR;
Talcahuano;Hospital de Tome;83,54;;2016;Cumple;EAR;
Metropolitano Oriente;Hospital Dr. Luis Tisne B.;83,52;;2016;Cumple;EAR;
Del Reloncaví;Hospital de Puerto Montt;82,81;;2016;Cumple;EAR;
Metropolitano Occidente;Hospital Adalberto Steeger;82,78;;2016;Cumple;Invitado;
Magallanes;Hospital Dr. Lautaro Navarro Avaria;81,91;;2016;Cumple;EAR;
Metropolitano Occidente;Hospital San José (Melipilla);81,91;;2016;Cumple;EAR;
Aconcagua;Hospital San Juan de Dios (Los Andes);81,38;;2016;Cumple;EAR;
Metropolitano Oriente;Instituto Nacional de Rehabilitación Pdte. Pedro Aguirre Cerda;81,06;;2016;Cumple;EAR;
Metropolitano Occidente;Hospital Dr. Félix Bulnes Cerda;80,98;;2016;Cumple;EAR;
Metropolitano Oriente;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;80,81;;2016;Cumple;EAR;
Concepción;Hospital San José (Coronel);80,43;;2016;Cumple;EAR;
Talcahuano;Hospital Las Higueras;80,21;;2016;Cumple;EAR;
Metropolitano Norte;Instituto Psiquiátrico Dr. Jose Horwitz Barak;79,84;;2016;Cumple;EAR;
Metropolitano Oriente;Hospital Del Salvador;79,17;;2016;Cumple;EAR;
Concepción;Hospital Clinico Regional Dr. Guillermo Grant Benavente;78,65;;2016;Cumple;EAR;
Viña del Mar Quillota;Hospital San Martín;78,65;;2016;Cumple;EAR;
Antofagasta;Hospital Dr. Carlos Cisternas;78,26;;2016;Cumple;Invitado;
Ñuble;Hospital de San Carlos;78,19;;2016;Cumple;EAR;
Metropolitano Sur;Hospital Barros Luco Trudeau;78,13;;2016;Cumple;EAR;
Aconcagua;Hospital de San Camilo;78,13;;2016;Cumple;EAR;
Del Maule;Hospital Dr. César Garavagno Burotto;78,13;;2016;Cumple;EAR;
Biobío;Complejo Asistencial Dr. Victor Ríos Ruiz;77,6;;2016;Cumple;EAR;
Aisén;Hospital Regional Coihaique;77,08;;2016;Cumple;EAR;
Araucanía Norte;Hospital Dr. Mauricio Heyermann;76,06;;2016;Cumple;EAR;
Atacama;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz;76,06;;2016;Cumple;Invitado;
Metropolitano Sur Oriente;Hospital Clínico Metropolitano La Florida Dra. Eloísa Diaz Inzunza;76,04;;2016;Cumple;Invitado;
Metropolitano Occidente;Instituto Traumatológico Dr. Teodoro Gebauer;75,61;;2016;Cumple;EAR;
Valparaíso San Antonio;Hospital Claudio Vicuña;75,53;;2016;Cumple;EAR;
Metropolitano Sur;Hospital El Pino;75,52;;2016;Cumple;EAR;
Concepción;Hospital de Lota;75;;2016;Cumple;EAR;
Araucanía Sur;Hospital Dr. Hernán Henríquez Aravena;75;;2016;Cumple;EAR;
Arica;Hospital Dr. Juan Noe Crevanni;75;;2016;Cumple;EAR;
Metropolitano Central;Hospital El Carmen Dr. Luis Valentín Ferrada;75;;2016;Cumple;Invitado;
Ñuble;Hospital Clínico Herminda Martin;74,48;;2016;No cumple;EAR;
Valdivia;Hospital Clínico Regional Valdivia;74,48;;2016;No cumple;EAR;
Chiloé;Hospital de Castro;74,48;;2016;No cumple;EAR;
Viña del Mar Quillota;Hospital Dr. Gustavo Fricke;74,48;;2016;No cumple;EAR;
Coquimbo;Hospital Dr. Antonio Tirado Lanas;74,47;;2016;No cumple;EAR;
Valparaíso San Antonio;Hospital Carlos Van Buren;73,96;;2016;No cumple;EAR;
Viña del Mar Quillota;Hospital de Quilpué;73,96;;2016;No cumple;EAR;
Coquimbo;Hospital San Juan de Dios (La Serena);73,96;;2016;No cumple;EAR;
Talcahuano;Hospital Penco Lirquén;73,61;;2016;No cumple;Invitado;
Del Libertador B. O´Higgins;Hospital Regional de Rancagua;72,92;;2016;No cumple;EAR;
Araucanía Norte;Hospital San José (Victoria);72,87;;2016;No cumple;EAR;
Metropolitano Central;Hospital Clínico San Borja-Arriarán;71,81;;2016;No cumple;EAR;
Antofagasta;Hospital Dr. Leonardo Guzman;71,35;;2016;No cumple;EAR;
Metropolitano Occidente;Hospital San Juan de Dios de Santiago;71,35;;2016;No cumple;EAR;
Del Libertador B. O´Higgins;Hospital San Juan de Dios (San Fernando);71,28;;2016;No cumple;EAR;
Metropolitano Sur Oriente;Complejo Hospitalario Dr. Sotero del Rio;70,31;;2016;No cumple;EAR;
Osorno;Hospital Base de Osorno;70,31;;2016;No cumple;EAR;
Valparaíso San Antonio;Hospital Dr. Eduardo Pereira Ramírez;70;;2016;No cumple;EAR;
Coquimbo;Hospital San Pablo;67,71;;2016;No cumple;EAR;
Atacama;Hospital San José del Carmen (Copiapó);67,19;;2016;No cumple;Invitado;
Arauco;Hospital Provincial Dr. Rafael Avaria;66,11;;2016;No cumple;Invitado;
Iquique;Hospital Dr. Ernesto Torres Galdames ;65,1;;2016;No cumple;EAR;
Metropolitano Central;Hospital de Urgencia Asistencia Publica Dr. Alejandro del Rio;63,16;;2016;No cumple;EAR;
Metropolitano Norte;Hospital Clínico de Niños Dr. Roberto del Rio;62,5;;2016;No cumple;EAR;
Metropolitano Norte;Complejo Hospitalario San Jose;59,9;;2016;No cumple;EAR;
Metropolitano Sur Oriente;Hospital Padre Alberto Hurtado      ;59,9;;2016;No cumple;Invitado;
